country,year,month,fx_reserves
brazil,2013,2,370309.666252041
brazil,2013,6,366764.439811807
brazil,2013,7,369136.369490089
brazil,2015,11,354723.560484104
brazil,2016,2,356707.333247599
brazil,2016,4,359411.289805351
brazil,2016,5,360823.062864525
brazil,2018,3,376708.757128337
brazil,2018,10,377644.404223987
brazil,2020,1,355954.628346896
brazil,2020,10,350475.496108404
brazil,2022,8,332500.013255758
brazil,2024,4,342027.950090821
brazil,2008,1,186506.509651435
brazil,2009,3,189397.593314971
brazil,2010,10,283475.095655055
brazil,2011,12,350356.038764795
brazil,2013,1,369819.082136432
brazil,2014,12,360964.711541741
brazil,2015,1,359044.942772198
brazil,2015,9,358962.34943735
brazil,2016,12,362504.953620439
brazil,2017,3,367412.23509243
brazil,2017,9,378461.933385811
brazil,2019,1,374117.101825687
brazil,2020,6,344919.675086868
brazil,2022,7,339041.972179048
brazil,2006,3,59195.8701539372
brazil,2008,2,191852.156641622
brazil,2008,9,205538.620094801
brazil,2008,12,192843.633608446
brazil,2011,2,305991.77923118
brazil,2011,10,351062.706789949
brazil,2011,11,350184.948630146
brazil,2012,6,372182.335658073
brazil,2012,11,374830.47888391
brazil,2013,11,359703.917129304
brazil,2014,3,361129.69470282
brazil,2014,8,376374.996336082
brazil,2015,8,365707.841833098
brazil,2018,2,374178.508443173
brazil,2018,9,378148.616891976
brazil,2019,6,385035.630518543
brazil,2021,6,345613.167260121
brazil,2022,2,349879.010881117
brazil,2023,8,336086.240427619
brazil,2006,6,62007.8316478194
brazil,2007,3,108816.522877248
brazil,2008,6,199821.610071864
brazil,2009,6,200457.737375584
brazil,2010,9,273793.362075945
brazil,2011,3,315590.8098661
brazil,2016,9,367565.465057231
brazil,2016,11,363012.383292164
brazil,2017,1,365080.067014173
brazil,2017,10,377596.903826252
brazil,2019,10,366565.212220411
brazil,2019,11,363210.433601
brazil,2021,4,347167.918497175
brazil,2023,1,323085.476925974
brazil,2023,3,332907.38173641
brazil,2006,4,55856.3886096575
brazil,2006,8,70804.2957904633
brazil,2006,10,77518.7088442649
brazil,2007,2,100352.253725369
brazil,2007,12,179432.865855624
brazil,2008,3,194222.833673217
brazil,2011,4,326402.627916279
brazil,2011,9,347954.502781096
brazil,2013,3,373486.444672895
brazil,2014,9,372904.88910919
brazil,2016,1,355104.658124707
brazil,2017,4,372199.611233574
brazil,2020,4,335653.348872588
brazil,2021,9,361560.274306255
brazil,2022,6,334400.719753942
brazil,2022,10,318715.20699874
brazil,2023,4,337421.952225899
brazil,2023,6,335621.08683089
brazil,2024,5,345846.333331169
brazil,2007,1,90383.435932934
brazil,2009,5,194210.014113458
brazil,2009,9,220552.837057225
brazil,2011,7,344376.972752799
brazil,2012,2,354416.941089826
brazil,2012,3,363417.843812443
brazil,2014,1,358231.212476702
brazil,2014,6,370666.007758523
brazil,2016,7,366423.968790466
brazil,2019,2,375599.548340026
brazil,2019,9,373250.63982625
brazil,2020,2,359034.022871479
brazil,2020,3,339690.550435872
brazil,2022,5,338732.320910865
brazil,2024,2,344171.915612755
brazil,2024,3,345780.287304005
brazil,2007,4,121099.021099777
brazil,2007,9,162159.54952645
brazil,2009,10,229998.940097024
brazil,2009,12,237364.464789493
brazil,2010,1,239318.276698247
brazil,2010,2,239884.968893503
brazil,2010,8,259973.454492474
brazil,2011,1,296262.662917534
brazil,2011,5,331356.730778367
brazil,2011,6,334143.725747639
brazil,2012,5,370725.240213854
brazil,2014,5,366067.198464963
brazil,2015,2,359916.501245229
brazil,2016,6,361299.950533714
brazil,2016,10,364775.491017272
brazil,2017,2,366258.622182538
brazil,2017,7,378277.476792749
brazil,2017,12,371150.619206193
brazil,2018,5,379737.501819743
brazil,2018,11,377089.745362644
brazil,2018,12,371933.901818424
brazil,2021,3,343713.737724689
brazil,2021,5,348598.387102
brazil,2021,8,362858.887506725
brazil,2021,10,360510.576046337
brazil,2022,3,345066.496878962
brazil,2023,2,320494.922921859
brazil,2023,7,337262.275825684
brazil,2023,10,331937.01006693
brazil,2023,12,346424.359999494
canada,2008,2,43507.5890540245
canada,2008,11,41466.4361519931
canada,2009,3,43423.1372702631
canada,2009,8,53467.2795860583
canada,2010,9,59404.5172581217
canada,2012,4,69363.3817413875
canada,2012,9,67946.6310097173
canada,2013,2,69191.7986578605
canada,2014,10,73800.596382532
canada,2016,1,81158.3395883635
canada,2016,4,83921.4789030433
canada,2016,9,84195.5233896498
canada,2016,11,83129.7261081223
canada,2017,3,82549.5641938556
canada,2017,11,86857.190281739
canada,2017,12,86677.7066967064
canada,2018,6,81764.6492289169
canada,2018,12,83925.6028080082
canada,2019,1,87872.8944826523
canada,2019,3,83401.1440074077
canada,2019,5,85704.7612585929
canada,2020,1,86471.4779040596
canada,2020,3,86100.4340877484
canada,2021,2,86325.6268372299
canada,2021,4,84337.3172383092
canada,2023,5,113514.363056141
canada,2023,7,113994.539012969
canada,2024,7,122250.045637199
canada,2006,9,35952.3978297298
canada,2007,1,35836.7918777717
canada,2007,2,36237.4695046624
canada,2007,4,40109.0214117292
canada,2008,1,42159.1687375868
canada,2008,8,42502.8999031387
canada,2009,10,56122.5065805582
canada,2011,10,65240.140967654
canada,2012,1,66185.7426300197
canada,2012,6,66043.3702876359
canada,2012,12,68364.9673619693
canada,2013,12,71821.4534157952
canada,2014,7,75343.2298874336
canada,2015,11,78109.8835319543
canada,2015,12,79695.4458698993
canada,2017,1,84783.2085951343
canada,2017,5,85589.6171439804
canada,2017,8,85154.7868608475
