country,year,month,lsci
japan,2009,5,456.13
japan,2009,8,461.04
japan,2009,11,463.81
japan,2010,2,464.36
japan,2010,5,478.15
japan,2010,8,486.23
japan,2010,11,474.37
japan,2011,2,469.72
japan,2011,5,472.39
japan,2011,8,461.44
japan,2011,11,447.72
japan,2012,2,441.92
japan,2012,5,434.37
japan,2012,8,438.09
japan,2012,11,442.8
japan,2013,2,437.88
japan,2013,5,431.6
japan,2013,8,435.46
japan,2013,11,426.03
japan,2014,2,412.09
japan,2014,5,411.3
japan,2014,8,421.36
japan,2014,11,434.17
japan,2015,2,431.2
japan,2015,5,428.35
japan,2015,8,433.78
japan,2015,11,424.31
japan,2016,2,431.7
japan,2016,5,424.06
japan,2016,8,413.44
japan,2016,11,398.12
japan,2017,2,401.1
japan,2017,5,390.16
japan,2017,8,394.95
japan,2017,11,400.51
japan,2018,2,396.56
japan,2018,5,398.96
japan,2018,8,394.13
japan,2018,11,411.46
japan,2019,2,411.51
japan,2019,5,409.12
japan,2019,8,408.02
japan,2019,11,420.8
japan,2020,2,411.53
japan,2020,5,413.26
japan,2020,8,414.23
japan,2020,11,406.26
japan,2021,2,402.42
japan,2021,5,393.47
japan,2021,8,391.85
japan,2021,11,388.99
japan,2022,2,384.22
japan,2022,5,387.51
japan,2022,8,388.77
japan,2022,11,404.03
japan,2023,1,400.61
japan,2023,2,401.73
japan,2023,3,407.63
japan,2023,4,408.01
japan,2023,5,412.81
japan,2023,6,410.66
japan,2023,7,412.98
japan,2023,8,414.58
japan,2023,9,416.97
japan,2023,10,416.24
japan,2023,11,415.05
japan,2023,12,417.27
japan,2024,1,419.0
japan,2024,2,420.86
japan,2024,3,422.13
japan,2024,4,422.25
japan,2024,5,423.47
japan,2024,6,424.58
japan,2024,7,421.15
japan,2024,8,412.95
japan,2024,9,410.72
japan,2024,10,410.9
japan,2024,11,412.91
japan,2024,12,410.43
japan,2025,1,409.85
japan,2025,2,410.2
japan,2025,3,411.12
japan,2025,4,415.35
japan,2025,5,422.24
japan,2025,6,422.32
japan,2025,7,428.42
japan,2025,8,428.22
japan,2025,9,430.82
japan,2025,10,423.38
japan,2025,11,423.56
japan,2025,12,427.18
japan,2026,1,423.97
japan,2026,2,420.91
japan,2026,3,420.84
mexico,2006,2,143.57
mexico,2006,5,142.38
mexico,2006,8,139.67
mexico,2006,11,142.53
mexico,2007,2,138.61
mexico,2007,5,143.59
mexico,2007,8,142.52
mexico,2007,11,141.7
mexico,2008,2,151.41
mexico,2008,5,154.33
mexico,2008,8,156.61
