country,year,month,gpr_index
mexico,2007,5,0.07138221710920334
south_korea,2007,5,0.13627514243125916
russia,2007,5,0.37637898325920105
south_africa,2007,5,0.055158987641334534
turkiye,2007,5,0.12978585064411163
united_kingdom,2007,5,1.015574336051941
united_states,2007,5,1.9922128915786743
australia,2007,6,0.069739431142807
brazil,2007,6,0.038039688020944595
canada,2007,6,0.21238826215267181
china,2007,6,0.38356685638427734
france,2007,6,0.3994167149066925
germany,2007,6,0.3677169978618622
india,2007,6,0.20921827852725983
italy,2007,6,0.12679895758628845
japan,2007,6,0.15532872080802917
mexico,2007,6,0.09509921818971634
south_korea,2007,6,0.23457807302474976
russia,2007,6,0.5008559226989746
south_africa,2007,6,0.069739431142807
turkiye,2007,6,0.16166867315769196
united_kingdom,2007,6,1.0777912139892578
united_states,2007,6,2.1809420585632324
australia,2007,7,0.15537500381469727
brazil,2007,7,0.038843750953674316
canada,2007,7,0.2071666717529297
china,2007,7,0.37548959255218506
france,2007,7,0.3657786548137665
germany,2007,7,0.23953646421432495
india,2007,7,0.34959375858306885
italy,2007,7,0.15537500381469727
japan,2007,7,0.17803385853767395
mexico,2007,7,0.123005211353302
south_korea,2007,7,0.3431198000907898
russia,2007,7,0.42404428124427795
south_africa,2007,7,0.032369792461395264
turkiye,2007,7,0.16184896230697632
united_kingdom,2007,7,1.4436928033828735
united_states,2007,7,2.392127752304077
australia,2007,8,0.07617355138063431
brazil,2007,8,0.02856508083641529
canada,2007,8,0.20630335807800293
china,2007,8,0.2856508195400238
france,2007,8,0.3110419809818268
germany,2007,8,0.21582505106925964
india,2007,8,0.14599929749965668
italy,2007,8,0.10791252553462982
japan,2007,8,0.18091218173503876
mexico,2007,8,0.0888691395521164
south_korea,2007,8,0.24439013004302979
russia,2007,8,0.32691147923469543
south_africa,2007,8,0.0222172848880291
turkiye,2007,8,0.09839083254337311
united_kingdom,2007,8,0.9172564744949341
united_states,2007,8,1.9360777139663696
australia,2007,9,0.09697197377681732
brazil,2007,9,0.02189689688384533
canada,2007,9,0.16579079627990723
china,2007,9,0.5693193078041077
france,2007,9,0.43168169260025024
germany,2007,9,0.28465965390205383
india,2007,9,0.22522522509098053
italy,2007,9,0.08133133500814438
japan,2007,9,0.18143142759799957
mexico,2007,9,0.07194694876670837
south_korea,2007,9,0.29091590642929077
russia,2007,9,0.4973723590373993
south_africa,2007,9,0.04379379376769066
turkiye,2007,9,0.1376376450061798
united_kingdom,2007,9,0.9353103041648865
united_states,2007,9,2.180305242538452
australia,2007,10,0.10583826899528503
brazil,2007,10,0.07151234149932861
canada,2007,10,0.17735061049461365
china,2007,10,0.5663777589797974
france,2007,10,0.4004691243171692
germany,2007,10,0.3003518283367157
india,2007,10,0.24028147757053375
italy,2007,10,0.11441975086927414
japan,2007,10,0.16590863466262817
mexico,2007,10,0.05720987543463707
south_korea,2007,10,0.3003518283367157
russia,2007,10,0.5692382454872131
south_africa,2007,10,0.07723332941532135
turkiye,2007,10,0.5148888826370239
united_kingdom,2007,10,0.8810320496559143
united_states,2007,10,2.3484654426574707
australia,2007,11,0.07190149277448654
brazil,2007,11,0.032954853028059006
canada,2007,11,0.11983582377433777
china,2007,11,0.45537614822387695
france,2007,11,0.42242127656936646
germany,2007,11,0.25465112924575806
india,2007,11,0.28161418437957764
italy,2007,11,0.11384403705596924
japan,2007,11,0.14080709218978882
mexico,2007,11,0.0419425405561924
south_korea,2007,11,0.14380298554897308
russia,2007,11,0.44039666652679443
south_africa,2007,11,0.026963060721755028
turkiye,2007,11,0.2516552209854126
united_kingdom,2007,11,0.9556906819343567
united_states,2007,11,1.9533239603042603
australia,2007,12,0.07453255355358124
brazil,2007,12,0.0421270951628685
canada,2007,12,0.168508380651474
china,2007,12,0.4925629496574402
france,2007,12,0.502284586429596
germany,2007,12,0.3499789237976074
india,2007,12,0.17823001742362976
italy,2007,12,0.11017855256795883
japan,2007,12,0.12962183356285095
mexico,2007,12,0.07129200547933578
south_korea,2007,12,0.168508380651474
russia,2007,12,0.6319063901901245
south_africa,2007,12,0.029164912179112434
turkiye,2007,12,0.15878674387931824
united_kingdom,2007,12,1.1115071773529053
united_states,2007,12,2.1452412605285645
australia,2008,1,0.040482047945261
brazil,2008,1,0.059166070073843
canada,2008,1,0.1089901253581047
china,2008,1,0.3518824279308319
france,2008,1,0.3207423686981201
germany,2008,1,0.199296236038208
india,2008,1,0.2304362654685974
italy,2008,1,0.068508081138134
japan,2008,1,0.1525861769914627
mexico,2008,1,0.052938062697649
south_korea,2008,1,0.1681561917066574
russia,2008,1,0.2864883244037628
south_africa,2008,1,0.040482047945261
turkiye,2008,1,0.040482047945261
united_kingdom,2008,1,0.6913087964057922
united_states,2008,1,1.8372621536254883
australia,2008,2,0.092177614569664
brazil,2008,2,0.015892691910266876
canada,2008,2,0.184355229139328
china,2008,2,0.28606846928596497
france,2008,2,0.3178538382053375
germany,2008,2,0.21614061295986176
india,2008,2,0.13985569775104523
italy,2008,2,0.06039223074913025
japan,2008,2,0.09853469580411911
mexico,2008,2,0.06039223074913025
south_korea,2008,2,0.10807030647993088
russia,2008,2,0.3814246356487274
south_africa,2008,2,0.07946345955133438
turkiye,2008,2,0.19389085471630096
united_kingdom,2008,2,0.7056355476379395
united_states,2008,2,1.7704459428787231
australia,2008,3,0.052641358226537704
brazil,2008,3,0.06193101033568382
canada,2008,3,0.16411717236042023
china,2008,3,0.343717098236084
france,2008,3,0.28178608417510986
germany,2008,3,0.145537868142128
india,2008,3,0.13315166532993317
italy,2008,3,0.06193101033568382
japan,2008,3,0.07122065871953964
mexico,2008,3,0.07431720942258835
south_korea,2008,3,0.09599306434392929
russia,2008,3,0.291075736284256
south_africa,2008,3,0.049544807523489
turkiye,2008,3,0.16102062165737152
united_kingdom,2008,3,0.6440824866294861
united_states,2008,3,1.6349786520004272
australia,2008,4,0.02533569745719433
brazil,2008,4,0.01900177262723446
canada,2008,4,0.1361793726682663
china,2008,4,0.29452750086784363
france,2008,4,0.22168736159801483
germany,2008,4,0.1361793726682663
india,2008,4,0.12351153045892715
italy,2008,4,0.057005319744348526
japan,2008,4,0.1361793726682663
mexico,2008,4,0.07600709050893784
south_korea,2008,4,0.23118823766708374
russia,2008,4,0.2818596363067627
south_africa,2008,4,0.11084368079900742
turkiye,2008,4,0.04750443249940872
united_kingdom,2008,4,0.6270585060119629
united_states,2008,4,1.6309856176376343
australia,2008,5,0.0671653151512146
brazil,2008,5,0.0396885983645916
canada,2008,5,0.1343306303024292
china,2008,5,0.3968859612941742
france,2008,5,0.2930850386619568
germany,2008,5,0.1862311065196991
india,2008,5,0.2350786179304123
italy,2008,5,0.0915890708565712
japan,2008,5,0.0946420356631279
mexico,2008,5,0.0732712596654892
south_korea,2008,5,0.1526484489440918
russia,2008,5,0.3449854850769043
south_africa,2008,5,0.0580064095556736
turkiye,2008,5,0.0915890708565712
united_kingdom,2008,5,0.5434284806251526
united_states,2008,5,1.6150206327438354
australia,2008,6,0.07828810065984726
brazil,2008,6,0.04566805809736252
canada,2008,6,0.18919624388217926
china,2008,6,0.37186846137046814
france,2008,6,0.42732253670692444
germany,2008,6,0.3392484486103058
india,2008,6,0.18267223238945007
italy,2008,6,0.13374216854572296
japan,2008,6,0.15983819961547852
mexico,2008,6,0.06524008512496948
south_korea,2008,6,0.23486429452896118
russia,2008,6,0.3262004256248474
south_africa,2008,6,0.10438413172960281
turkiye,2008,6,0.10438413172960281
united_kingdom,2008,6,0.8774791359901428
united_states,2008,6,1.856080412864685
australia,2008,7,0.06935499608516693
brazil,2008,7,0.052841901779174805
canada,2008,7,0.20145975053310394
china,2008,7,0.45245879888534546
france,2008,7,0.5548399686813354
germany,2008,7,0.45245879888534546
india,2008,7,0.26751214265823364
italy,2008,7,0.08586809039115906
japan,2008,7,0.26751214265823364
mexico,2008,7,0.0660523772239685
south_korea,2008,7,0.20145975053310394
russia,2008,7,0.5350242853164673
south_africa,2008,7,0.1453152298927307
turkiye,2008,7,0.24109119176864624
united_kingdom,2008,7,0.8983123898506165
united_states,2008,7,2.0377159118652344
australia,2008,8,0.033367812633514404
brazil,2008,8,0.036704596132040024
canada,2008,8,0.17017585039138794
china,2008,8,0.3737195134162903
france,2008,8,0.6540091633796692
germany,2008,8,0.37038272619247437
india,2008,8,0.276952862739563
italy,2008,8,0.10010343790054321
japan,2008,8,0.14348159730434418
mexico,2008,8,0.060062065720558167
south_korea,2008,8,0.11678734421730042
russia,2008,8,1.124495267868042
south_africa,2008,8,0.046714939177036285
turkiye,2008,8,0.17017585039138794
united_kingdom,2008,8,0.7507758140563965
united_states,2008,8,1.955353856086731
australia,2008,9,0.0781097412109375
brazil,2008,9,0.07160060107707977
